arrival_id,date,mandi_id,crop_name,raw_crop_name,variety,arrival_quantity_qtl,farmer_count,arrival_id_was_missing,qty_was_negative,farmer_count_was_missing
ARR0012424,2026-06-04,MANDI026,Wheat,गेहूं,Hybrid,448.41,128.0,False,False,False
ARR0008271,2026-06-02,MANDI014,Wheat,Gehun,HD-2967,332.54,33.0,False,False,False
ARR0022724,2026-08-16,MANDI056,Wheat,Kanak,HD-2967,415.88,76.0,False,False,True
ARR0012573,2026-06-24,MANDI019,Maize,Maize,Unknown,1.0713,112.0,False,True,False
ARR0012098,2026-08-09,MANDI050,Maize,Corn,Premium,331.59,78.0,False,True,True
ARR0013701,2026-03-31,MANDI049,Sugarcane,Ganne,Local,119.93,105.0,False,False,False
ARR0010753,2026-07-10,MANDI054,Cotton,Kapas,HD-2967,187.68,45.0,False,False,False
ARR0022123,2026-07-15,MANDI045,Mustard,Sarso,Hybrid,393.67,24.0,False,False,False
ARR0003275,2026-04-08,MANDI029,Mustard,Sarson,PBW-343,14.84,129.0,False,False,False
ARR0002542,2026-08-14,MANDI010,Mustard,Mustard,Pusa-1121,93.28,109.0,False,False,False
ARR0016719,2026-05-25,MANDI044,Maize,Maize,PBW-343,38.37,80.0,False,False,False
ARR0019527,2026-08-02,MANDI042,Maize,corn,HD-2967,170.77,26.0,False,False,False
ARR0009636,2026-03-31,MANDI056,Maize,corn,HD-2967,37.3,78.0,False,False,True
ARR0010366,2026-01-16,MANDI011,Sugarcane,Ganne,Pusa-1121,44.83,65.0,False,False,False
ARR0005837,2026-06-27,MANDI025,Wheat,GEHUN,Unknown,454.74,76.0,False,False,True
ARR0002387,2026-01-18,MANDI050,Sugarcane,Ganne,HD-2967,15.18,79.0,False,False,True
ARR0024112,2026-08-09,MANDI006,Mustard,सरसों,Unknown,34.63,102.0,False,False,False
ARR0010546,2026-01-09,MANDI039,Wheat,Kanak,Unknown,415.77,139.0,False,False,False
ARR0002154,2026-03-20,MANDI001,Rice,Basmati,HD-2967,396.46000000000004,61.0,False,False,False
ARR0020380,2026-06-03,MANDI028,Mustard,mustard,Pusa-1121,99.87,78.0,False,False,True
ARR0021641,2026-08-15,MANDI045,Mustard,Sarso,HD-2967,391.19,41.0,False,False,False
ARR0004098,2026-03-25,MANDI027,Cotton,cotton,Pusa-1121,111.01,137.0,False,False,False
ARR_GEN_000000,2026-06-18,MANDI026,Maize,मक्का,Pusa-1121,264.38,96.0,True,False,False
ARR0006088,2026-08-12,MANDI019,Sugarcane,Ganne,HD-2967,373.93,121.0,False,False,False
ARR0021143,2026-04-30,MANDI024,Mustard,सरसों,Premium,70.49,7.0,False,False,False
ARR0019959,2026-08-21,MANDI022,Maize,Makka,PBW-343,383.43000000000006,85.0,False,False,False
ARR0001442,2026-05-31,MANDI044,Paddy,paddy,Local,113.89,97.0,False,False,False
ARR0004480,2026-04-08,MANDI045,Wheat,Wheat,Local,159.1,102.0,False,False,False
ARR0021197,2026-08-28,MANDI021,Sugarcane,sugarcane,Hybrid,197.48,79.0,False,False,True
ARR0020628,2026-06-12,MANDI012,Sugarcane,sugarcane,PBW-343,350.53000000000003,71.0,False,False,False
ARR0001665,2026-07-30,MANDI055,Rice,Chawal,Local,406.67,80.5,False,False,True
ARR0002938,2026-07-04,MANDI016,Wheat,GEHUN,Unknown,162.36,114.0,False,False,False
ARR0019350,2026-03-25,MANDI001,Wheat,गेहूं,Premium,190.73000000000002,76.0,False,False,True
ARR0020205,2026-07-05,MANDI037,Maize,Makka,Hybrid,73.47,17.0,False,False,False
ARR0015292,2026-07-15,MANDI037,Wheat,wheat,PBW-343,366.54,53.0,False,False,False
ARR0019616,2026-04-10,MANDI008,Maize,Corn,Hybrid,82.61,78.0,False,False,True
ARR0022884,2026-05-12,MANDI047,Maize,मक्का,Unknown,194.32,33.0,False,False,False
ARR0003230,2026-04-03,MANDI051,Mustard,सरसों,PBW-343,380.55,6.0,False,False,False
ARR0003266,2026-04-24,MANDI023,Sugarcane,Ganna,Unknown,97.11,17.0,False,False,False
ARR0023966,2026-03-03,MANDI017,Mustard,Sarso,PBW-343,159.99,125.0,False,False,False
ARR0017190,2026-08-01,MANDI002,Cotton,cotton,PBW-343,226.97,73.0,False,False,False
ARR0003048,2026-01-24,MANDI016,Cotton,Cotton,Premium,78.45,54.0,False,False,False
ARR0013641,2026-03-18,MANDI018,Mustard,Sarso,Premium,342.39,143.0,False,False,False
ARR0019876,2026-07-12,MANDI054,Rice,Basmati,Unknown,322.27,127.0,False,False,False
ARR0018787,2026-08-08,MANDI044,Paddy,paddy,Pusa-1121,336.73,69.0,False,False,False
ARR0020778,2026-03-08,MANDI024,Mustard,mustard,HD-2967,127.9,113.0,False,False,False
ARR0002765,2026-02-28,MANDI013,Mustard,Sarson,Premium,361.74,62.0,False,False,False
ARR0014145,2026-01-31,MANDI006,Sugarcane,Ganna,Pusa-1121,469.92,18.0,False,False,False
