record_id,date,mandi_id,district,crop_name,raw_crop_name,min_price,max_price,modal_price,msp,is_price_crash
PR001650,2026-07-26,MANDI005,Amritsar,Cotton,Kapas,6850.985817820893,7570.17,7210.58,6620.0,False
PR000246,2026-07-17,MANDI028,Fatehabad,Cotton,कपास,6944.79,7654.18,7299.0,,False
PR010091,2026-01-09,MANDI011,Jalandhar,Paddy,Dhaan,1857.0,2013.18,1935.06,2183.0,True
PR000982,2026-05-24,MANDI012,Ferozepur,Maize,corn,1873.34,1986.0,1930.0,2090.0,True
PR001708,2026-08-18,MANDI013,Karnal,Cotton,Cotton,5878.62,6574.283051769212,6226.45,6620.0,True
PR004312,2026-01-24,MANDI001,Patiala,Cotton,Kapas,,7324.58,,6620.0,False
PR000288,2026-08-08,MANDI031,Hisar,Wheat,Kanak,2270.14,2823.4429693584902,2546.79,2275.0,False
PR002536,2026-01-06,MANDI036,Kurukshetra,Wheat,WHEAT,1961.63,2340.0,2151.0,2275.0,True
PR009427,2026-08-12,MANDI050,Muzaffarnagar,Wheat,Gehun,2277.53,2458.0,2367.64,2275.0,False
PR003418,2026-02-09,MANDI011,Ambala,Sugarcane,गन्ना,3156.94,3890.02,,3500.0,False
PR001250,2026-02-10,MANDI002,Ambala,Maize,corn,1866.0,2193.0,2029.0,2090.0,True
PR008959,2026-06-24,MANDI057,Bareilly,Mustard,सरसों,,6850.0,6290.0,5650.0,False
PR004344,2026-04-14,MANDI040,Amritsar,Paddy,Dhaan,1989.0202736774606,2138.04,2063.53,2183.0,True
PR008040,2026-06-25,MANDI053,Ludhiana,Wheat,Kanak,2016.0,2300.0,2158.4,2275.0,True
PR002773,2026-04-06,MANDI050,Ambala,Sugarcane,Ganna,3391.89,4215.91,3804.0,3500.0,False
PR007582,2026-01-24,MANDI043,Ferozepur,Paddy,Dhaan,,2521.03,2303.861807881144,2183.0,False
PR001390,2026-06-17,MANDI026,Patiala,Sugarcane,Sugarcane,3661.39,4282.71,3972.05,3500.0,False
PR011220,2026-01-17,MANDI010,Bathinda,Cotton,Kapas,6054.0,7147.5,6601.0,6620.0,True
PR008656,2026-03-26,MANDI005,Patiala,Rice,Basmati,2172.99,2312.15,,,False
PR000719,2026-04-29,,Kurukshetra,Maize,Makka,1878.0,2114.21,,2090.0,False
PR005849,2026-01-23,MANDI016,Patiala,Cotton,cotton,6473.0,7364.56,6918.61,6620.0,False
PR007394,2026-03-25,MANDI024,Karnal,Sugarcane,sugarcane,3074.76,3382.79,3229.0,3500.0,True
PR004644,2026-05-25,MANDI026,Hisar,Mustard,mustard,5725.0,6263.77,5994.455824860666,5650.0,False
PR002514,2026-07-21,MANDI007,Hisar,Maize,corn,1988.4744912268284,2299.86,2144.167343486675,2090.0,False
PR010213,2026-02-17,MANDI043,Jalandhar,Wheat,wheat,1958.0,2157.0,2057.3,2275.0,True
PR011212,2026-05-31,MANDI008,Amritsar,Sugarcane,sugarcane,3280.592160219738,4064.73,3672.66,3500.0,False
PR011958,2026-04-02,,Bathinda,Wheat,Kanak,2215.53,2450.04,2332.79,2275.0,False
PR002913,2026-08-08,MANDI027,Sirsa,Mustard,Mustard,5826.290509325942,6273.0,6049.51,5650.0,False
PR000358,2026-01-31,MANDI030,Ludhiana,Maize,Corn,1867.38,,1949.0,2090.0,True
PR008575,2026-07-20,,Moga,Sugarcane,Ganne,3509.61,4356.0,3932.8,,False
PR010458,2026-01-10,,Bathinda,Cotton,Kapas,5627.0,6650.37,6138.929109845614,6620.0,True
PR000951,2026-06-25,MANDI056,Hisar,Paddy,Dhaan,2226.17,2525.0,2376.0,2183.0,False
PR002105,2026-01-20,MANDI039,Kurukshetra,Cotton,Kapas,6155.47,6702.0,6428.56,6620.0,True
PR007951,2026-01-02,MANDI024,Kurukshetra,Maize,Maize,2174.42,2348.9471523051525,2262.0,,False
PR001266,2026-04-25,MANDI019,Fatehabad,Sugarcane,Ganna,3500.0,4245.0,3873.0,3500.0,False
PR006089,2026-03-02,MANDI046,Ferozepur,Mustard,Mustard,5142.95,5632.66,5387.81,5650.0,True
PR010862,2026-02-11,MANDI042,Ambala,Mustard,mustard,5493.827969524963,6761.44,6127.63,5650.0,False
PR011617,2026-03-18,MANDI053,Bathinda,Maize,Makka,2009.38,2235.4,2122.39,,False
PR001291,2026-08-03,MANDI046,Jalandhar,Paddy,धान,1867.54,2189.09,2028.32,2183.0,True
PR001377,2026-06-14,MANDI007,Amritsar,Rice,Basmati,1970.8,2447.0,2209.0,,False
PR003954,2026-03-31,MANDI017,Kurukshetra,Paddy,Dhaan,1971.7,2237.0,2104.0,2183.0,True
PR003093,2026-05-20,MANDI008,Ludhiana,Rice,चावल,1975.0,2358.74,2166.76,2183.0,True
PR000689,2026-04-02,MANDI054,Saharanpur,Wheat,GEHUN,2293.99,2786.0,2540.0,,False
PR002359,2026-04-09,MANDI026,Hisar,Cotton,cotton,6497.0,7003.03,6749.79,6620.0,False
PR004233,2026-01-29,MANDI049,Muzaffarnagar,Paddy,paddy,2082.58,,2270.31,2183.0,False
PR009368,2026-04-05,MANDI014,Karnal,Cotton,Narma,6403.67,6871.07,6637.37,6620.0,False
PR005203,2026-03-29,MANDI024,Ferozepur,Wheat,गेहूं,2124.53,2316.88,2220.7,2275.0,True
PR006235,2026-05-20,MANDI006,Hisar,Cotton,Cotton,,7062.16,6842.78,,False
PR011846,2026-09-05,MANDI031,Ambala,Wheat,गेहूं,2076.39,2414.63,2245.51,,False
PR001340,2026-01-16,MANDI007,Jalandhar,Paddy,Paddy,1857.0,2122.46,1989.82,2183.0,True
PR008186,2026-01-25,,Moga,Rice,Rice,2005.68,2112.51,2059.1,,False
PR007070,2026-05-09,MANDI022,Karnal,Rice,Rice,2038.27,2509.7,2273.98,2183.0,False
PR004775,2026-02-23,,Jalandhar,Wheat,Gehun,2097.0,2609.0,2353.0,2275.0,False
PR006448,2026-02-20,MANDI035,Ludhiana,Maize,corn,1881.78,2319.1,2100.44,,False
PR003034,2026-01-29,MANDI055,Amritsar,Wheat,Wheat,2375.39,2905.0,2640.12,2275.0,False
PR002947,2026-05-13,,Patiala,Cotton,Cotton,6131.0,7320.96,6725.89,6620.0,False
PR002729,2026-03-02,MANDI008,Karnal,Mustard,Mustard,5787.16,6077.88,5932.52,5650.0,False
PR007737,2026-02-20,MANDI012,Amritsar,Wheat,गेहूं,1964.0,2203.07,2083.63,2275.0,True
PR005676,2026-07-01,MANDI007,Fatehabad,Maize,Corn,1976.82,2419.0,2197.94,2090.0,False
PR007093,2026-01-31,MANDI051,Saharanpur,Rice,Basmati,2285.36,2595.15,,2183.0,False
PR008805,2026-03-11,MANDI046,Ludhiana,Mustard,सरसों,4820.0,5699.0,5259.53,5650.0,True
PR005981,2026-07-23,MANDI013,Kurukshetra,Wheat,wheat,2341.23,2517.0,2429.19,2275.0,False
PR000060,2026-05-14,,Ferozepur,Mustard,mustard,5811.32,6329.19,6070.26,5650.0,False
PR001371,2026-06-04,MANDI030,Ferozepur,Cotton,cotton,5660.0,6087.83,5874.0,6620.0,True
PR003239,2026-01-03,,Karnal,Rice,चावल,1872.0,2174.23,2023.3017368627486,2183.0,True
PR002056,2026-08-22,MANDI009,Ferozepur,Rice,Basmati,1908.1409099896425,2009.0,1958.0,,False
PR005252,2026-01-05,MANDI032,Jalandhar,Wheat,Gehun,2151.86,2675.13,2413.49,,False
PR009259,2026-06-01,MANDI055,Bareilly,Sugarcane,Ganne,3152.0,3337.0,3244.6003698960367,3500.0,True
PR002760,2026-02-15,MANDI036,Karnal,Cotton,Narma,6302.29,7206.81,6754.55,6620.0,False
PR004003,2026-08-25,MANDI029,Kurukshetra,Sugarcane,Ganna,3083.37,3315.0,3199.0,3500.0,True
PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,Cotton,6311.65,6815.97,6563.81,,False
PR004575,2026-08-28,MANDI040,Ferozepur,Rice,चावल,2184.65,2619.32,2401.982891153114,2183.0,False
PR001751,2026-07-19,MANDI047,Ludhiana,Mustard,सरसों,5637.61,,6334.03,,False
PR001077,2026-07-22,,Kurukshetra,Mustard,सरसों,5178.312104348875,,5757.03,5650.0,False
PR005404,2026-01-22,MANDI034,Sirsa,Maize,मक्का,1786.3365949009074,1926.15,1856.24,2090.0,True
PR006339,2026-04-25,MANDI051,Karnal,Cotton,Narma,6696.62,7530.0,7113.15,6620.0,False
PR009691,2026-05-11,MANDI010,Fatehabad,Sugarcane,Ganna,3201.15,3361.389536195206,3281.27,3500.0,True
PR010145,2026-02-02,MANDI013,Kurukshetra,Wheat,GEHUN,2069.22,2309.0,2188.9685772991033,2275.0,True
PR001300,2026-08-02,MANDI046,Patiala,Maize,corn,1918.0,2158.02,2038.25,2090.0,True
PR007631,2026-03-02,MANDI055,Bathinda,Wheat,Wheat,2386.55,2953.19,2669.87,2275.0,False
PR000891,2026-07-17,MANDI050,Amritsar,Sugarcane,Ganna,3360.97,3721.24,3541.11,3500.0,False
PR000564,2026-01-05,MANDI039,Hisar,Sugarcane,Sugarcane,3448.28,4181.0,3814.67,3500.0,False
PR000602,2026-05-29,MANDI009,Ambala,Paddy,Dhaan,1924.0,2048.1,1986.0,2183.0,True
PR010104,2026-06-29,MANDI040,Karnal,Wheat,WHEAT,2287.5,2466.13,2376.82,2275.0,False
PR000234,2026-03-06,MANDI046,Sirsa,Sugarcane,Ganne,3421.0,3726.0,3573.51,3500.0,False
PR005480,2026-07-20,MANDI050,Moga,Mustard,Mustard,5592.07,6362.979993983251,5977.53,5650.0,False
PR010827,2026-06-25,MANDI005,Fatehabad,Sugarcane,sugarcane,3119.64,3645.1,3382.37,3500.0,True
PR000661,2026-07-26,MANDI029,Fatehabad,Paddy,Paddy,,2666.93,2401.0,2183.0,False
PR002565,2026-05-07,MANDI043,Ludhiana,Maize,Makki,,2198.0,2022.0,2090.0,True
PR004659,2026-01-23,MANDI010,Sirsa,Maize,Makka,1944.04,2211.0,2077.0,2090.0,True
PR008402,2026-06-16,MANDI027,Fatehabad,Maize,मक्का,1845.0,2143.52,1994.33,,False
PR007197,2026-05-04,MANDI033,Ambala,Sugarcane,गन्ना,3653.020121077713,4059.89,3856.0,3500.0,False
PR000500,2026-04-02,MANDI035,Moga,Rice,चावल,2181.045527366979,2399.84,2290.0,2183.0,False
PR002708,2026-08-17,MANDI053,Sirsa,Cotton,कपास,6858.04,7844.4388757834595,7351.24,6620.0,False
PR008975,2026-04-05,MANDI046,Karnal,Wheat,Wheat,2350.0,2685.0,2517.0,2275.0,False
PR007085,2026-03-11,MANDI039,Ambala,Mustard,Sarso,5727.0,6192.0,5959.0,5650.0,False
PR003234,2026-08-31,MANDI010,Hisar,Mustard,Sarson,5344.0,6188.0,5766.0,5650.0,False
PR010364,2026-06-29,MANDI014,Fatehabad,Rice,Chawal,1936.0,2035.72,,2183.0,False
PR003552,2026-05-18,,Karnal,Maize,corn,1791.21,1980.88,1886.04,,False
PR003156,2026-07-28,MANDI052,Bathinda,Maize,Makki,2067.21,2382.0,2224.78,2090.0,False
PR001607,2026-06-18,,Patiala,Mustard,mustard,5565.0,6412.727054232409,5989.0,,False
PR002564,2026-04-06,MANDI010,Ambala,Maize,corn,2121.78,2587.0,2354.0,2090.0,False
PR001680,2026-02-09,MANDI038,Bathinda,Paddy,paddy,2063.33,2387.0,2225.08,2183.0,False
PR004686,2026-04-30,MANDI051,Saharanpur,Mustard,Sarson,5523.1,6271.94,5898.0,,False
PR010671,2026-08-12,MANDI036,Sirsa,Sugarcane,sugarcane,3521.0,3829.9,3675.0,3500.0,False
PR003180,2026-02-03,MANDI057,Patiala,Rice,Rice,2102.2,2284.3,2193.25,2183.0,False
PR007921,2026-06-13,MANDI057,Patiala,Wheat,गेहूं,2274.0,2519.92,2397.03,2275.0,False
PR009782,2026-03-30,MANDI045,Meerut,Mustard,Mustard,4983.72,6078.7,5531.21,5650.0,True
PR007375,2026-05-26,MANDI007,Sirsa,Cotton,Kapas,6948.75,7354.0,7151.48,6620.0,False
PR003698,2026-02-28,MANDI003,Jalandhar,Maize,Corn,,2455.0,2321.22,2090.0,False
PR011382,2026-05-20,MANDI047,Karnal,Maize,Makki,1923.0,2057.96,1990.53,2090.0,True
PR000927,2026-08-16,MANDI042,Bathinda,Wheat,Wheat,1971.5,2367.71,2170.0,2275.0,True
PR011519,2026-03-27,MANDI030,Jalandhar,Mustard,Sarso,5653.22,6810.92,6232.0,5650.0,False
PR009637,2026-03-10,MANDI056,Hisar,Mustard,सरसों,5115.5,,5462.0,5650.0,True
PR001637,2026-04-23,MANDI048,Ludhiana,Rice,चावल,2010.1534847915866,2209.05,2110.0,,False
PR004876,2026-08-12,,Fatehabad,Cotton,Narma,6345.534975638505,7199.0,6772.33,,False
PR001068,2026-02-27,MANDI043,Moga,Rice,Chawal,2093.86,2212.47,2153.17,2183.0,True
PR006220,2026-05-31,MANDI021,Bathinda,Maize,Makka,1888.0,2027.39,1957.5956597046059,2090.0,True
PR008164,2026-04-16,,Hisar,Paddy,Paddy,2145.539983472816,2347.05,2246.3,2183.0,False
PR004486,2026-05-06,,Hisar,Maize,corn,1887.5,2254.54,2071.0,2090.0,True
PR001657,2026-05-26,,Jalandhar,Sugarcane,Sugarcane,3058.0,3448.7883456534482,3253.0,3500.0,True
PR000636,2026-07-30,MANDI001,Jalandhar,Mustard,Mustard,5830.0,6522.04,6175.78,5650.0,False
PR008714,2026-01-19,MANDI044,Bathinda,Sugarcane,Ganna,3275.4225337385774,3868.2,3572.0,3500.0,False
PR006554,2026-05-12,MANDI019,Ferozepur,Wheat,Gehun,2043.0,2169.0,2106.18,,False
