trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance_km,distance_unit_assumed,vehicle_no,vehicle_no_raw,driver_id
TRP006374,MANDI050,WH-Central,2026-04-30 20:08:22,2026-05-01 05:26:00,9.293888888888889,491.99862492888,False,Unknown,,DRV264
TRP008869,MANDI029,WH-West,2026-04-10 04:15:00,2026-04-10 09:51:00,5.6,263.5,False,Unknown,,DRV540
TRP000674,MANDI024,WH-South,2026-07-18 16:34:00,2026-07-18 22:46:00,6.2,276.5,False,UP-50-BC-6882,UP 50 BC 6882,DRV722
TRP000036,MANDI042,WH-Central,2026-08-13 06:21:00,2026-08-14 00:00:00,17.65,1070.7,False,RJ-52-CD-3274,RJ-52-CD-3274,DRV103
TRP008288,MANDI019,WH-South,2026-07-30 22:51:00,2026-07-31 15:57:00,17.1,728.9,False,DL-73-DF-1458,DL-73-DF-1458,Unknown
TRP003456,MANDI038,Export-Terminal,2026-07-25 20:53:00,,7.3,417.0,False,UP-97-BC-6135,UP97-BC-6135,DRV255
TRP005236,MANDI041,WH-West,2026-07-05 07:34:30,2026-07-05 22:28:00,14.891666666666667,671.9,False,PB-99-BC-2796,PB-99-BC-2796,DRV297
TRP007075,MANDI023,WH-West,2026-06-19 00:00:00,2026-06-19 22:01:06,22.018333333333334,362.6,False,PB-48-DF-3590,pb 48-DF-3590,Unknown
TRP002222,MANDI033,WH-North,2026-05-02 10:12:36,2026-05-02 22:12:00,11.99,549.5,False,DL-55-BC-7556,DL55-BC-7556,DRV662
TRP004565,MANDI054,WH-West,2026-09-05 10:36:00,2026-09-05 20:00:00,9.4,424.8,False,PB-83-DF-2210,PB 83 DF 2210,DRV201
TRP008152,MANDI019,WH-Central,2026-05-02 09:15:00,2026-05-02 18:45:00,9.5,553.3,False,PB-53-AB-4593,PB 53 AB 4593,DRV920
TRP000484,MANDI018,Export-Terminal,2026-08-02 03:53:48,2026-08-02 19:35:48,15.7,798.0,False,PB-65-AB-4841,PB-65-AB-4841,Unknown
TRP006460,MANDI011,WH-East,2026-07-13 10:12:45,2026-07-13 15:30:45,5.3,275.0,False,DL-48-CD-9566,DL-48-CD-9566,DRV803
TRP005643,MANDI009,WH-Central,2026-06-20 11:25:40,2026-06-21 00:31:00,13.088888888888889,716.3,False,HR-45-AB-2105,hr 45-AB-2105,DRV326
TRP005033,MANDI048,WH-East,2026-09-09 14:19:00,2026-09-10 00:00:00,9.683333333333334,716.4,False,Unknown,,DRV415
TRP005838,MANDI017,WH-Central,2026-06-26 06:21:28,2026-06-27 03:45:28,21.4,1000.8,False,HR-67-CD-5973,HR 67 CD 5973,DRV626
TRP003149,MANDI033,WH-North,2026-01-01 11:16:00,,7.7,,True,PB-62-CD-5129,PB-62-CD-5129,DRV342
TRP009930,MANDI048,WH-South,2026-02-09 05:25:00,,,486.0,False,UP-40-DF-1180,UP 40 DF 1180,DRV783
TRP008787,MANDI022,WH-South,2026-05-20 20:31:00,2026-05-21 01:13:44,4.7122222222222225,244.3,False,HR-57-BC-1128,hr 57-BC-1128,DRV403
